Running pytorch 2.10.0+cu130
using device: cuda:0
tokens per iteration: 524,288
DataLoader: total number of tokens: 5,000,000,000 across 50 files
DataLoader: total number of tokens: 100,000,000 across 1 files
compiling the model...
step:81/4768 | loss 6.536971 | train_time:430.22s | step_avg:5246.63ms
step:82/4768 | loss 6.477427 | train_time:434.84s | step_avg:5239.00ms
step:83/4768 | loss 6.435235 | train_time:439.53s | step_avg:5232.53ms
step:84/4768 | loss 6.413465 | train_time:444.33s | step_avg:5227.41ms
step:85/4768 | loss 6.384513 | train_time:450.45s | step_avg:5237.73ms
step:86/4768 | loss 6.387961 | train_time:455.32s | step_avg:5233.62ms
step:87/4768 | loss 6.350859 | train_time:460.13s | step_avg:5228.77ms
step:88/4768 | loss 6.348647 | train_time:465.03s | step_avg:5225.04ms
step:89/4768 | loss 6.313099 | train_time:469.63s | step_avg:5218.12ms
step:90/4768 | loss 6.341980 | train_time:474.42s | step_avg:5213.38ms
step:91/4768 | loss 6.350430 | train_time:479.04s | step_avg:5206.95ms
step:92/4768 | loss 6.353044 | train_time:483.84s | step_avg:5202.57ms
step:93/4768 | loss 6.304014 | train_time:488.72s | step_avg:5199.14ms
step:94/4768 | loss 6.271273 | train_time:493.43s | step_avg:5193.96ms
step:95/4768 | loss 6.241230 | train_time:498.03s | step_avg:5187.86ms
step:96/4768 | loss 6.346613 | train_time:502.73s | step_avg:5182.83ms
step:97/4768 | loss 6.293417 | train_time:507.43s | step_avg:5177.85ms
step:98/4768 | loss 6.290865 | train_time:512.02s | step_avg:5171.96ms
step:99/4768 | loss 6.253693 | train_time:516.63s | step_avg:5166.27ms
step:100/4768 | loss 6.255750 | train_time:521.23s | step_avg:5160.71ms
step:101/4768 | loss 6.209198 | train_time:526.02s | step_avg:5157.04ms
step:102/4768 | loss 6.213391 | train_time:530.64s | step_avg:5151.83ms
step:103/4768 | loss 6.210192 | train_time:535.52s | step_avg:5149.21ms
step:104/4768 | loss 6.234993 | train_time:540.22s | step_avg:5144.93ms
step:105/4768 | loss 6.269713 | train_time:544.83s | step_avg:5139.86ms
step:106/4768 | loss 6.212932 | train_time:549.43s | step_avg:5134.90ms
step:107/4768 | loss 6.142792 | train_time:554.12s | step_avg:5130.72ms
step:108/4768 | loss 6.191118 | train_time:558.83s | step_avg:5126.87ms
step:109/4768 | loss 6.217193 | train_time:563.43s | step_avg:5122.11ms
step:110/4768 | loss 6.134548 | train_time:568.14s | step_avg:5118.33ms
step:111/4768 | loss 6.162304 | train_time:573.12s | step_avg:5117.14ms
step:112/4768 | loss 6.157195 | train_time:577.74s | step_avg:5112.74ms
step:113/4768 | loss 6.098794 | train_time:582.62s | step_avg:5110.74ms
step:114/4768 | loss 6.159833 | train_time:587.24s | step_avg:5106.41ms
step:115/4768 | loss 6.105629 | train_time:592.02s | step_avg:5103.65ms
step:116/4768 | loss 6.079090 | train_time:596.72s | step_avg:5100.15ms
step:117/4768 | loss 6.027781 | train_time:601.42s | step_avg:5096.76ms
step:118/4768 | loss 6.068190 | train_time:606.22s | step_avg:5094.28ms
step:119/4768 | loss 6.019432 | train_time:610.93s | step_avg:5091.09ms
step:120/4768 | loss 6.034610 | train_time:615.44s | step_avg:5086.26ms
step:121/4768 | loss 5.993939 | train_time:620.14s | step_avg:5083.10ms
step:122/4768 | loss 6.153342 | train_time:624.93s | step_avg:5080.70ms
step:123/4768 | loss 6.023981 | train_time:629.72s | step_avg:5078.37ms
step:124/4768 | loss 6.030846 | train_time:634.33s | step_avg:5074.64ms
step:125/4768 | loss 5.985744 | train_time:639.02s | step_avg:5071.57ms
step:126/4768 | loss 6.118731 | train_time:644.12s | step_avg:5071.82ms
step:127/4768 | loss 6.050388 | train_time:648.82s | step_avg:5068.92ms
step:128/4768 | val loss 6.073605
step:128/4768 | loss 6.076765 | train_time:653.60s | step_avg:5066.68ms
step:129/4768 | loss 6.067523 | train_time:658.31s | step_avg:5063.92ms
step:130/4768 | loss 6.089649 | train_time:663.11s | step_avg:5061.89ms
step:131/4768 | loss 6.040689 | train_time:667.90s | step_avg:5059.87ms
step:132/4768 | loss 5.975297 | train_time:672.70s | step_avg:5057.92ms
step:133/4768 | loss 6.013306 | train_time:677.20s | step_avg:5053.76ms
step:134/4768 | loss 5.985745 | train_time:682.10s | step_avg:5052.59ms
step:135/4768 | loss 5.889837 | train_time:686.70s | step_avg:5049.30ms
step:136/4768 | loss 5.932866 | train_time:691.50s | step_avg:5047.43ms
step:137/4768 | loss 5.928429 | train_time:696.19s | step_avg:5044.85ms
step:138/4768 | loss 5.880968 | train_time:701.40s | step_avg:5046.08ms
step:139/4768 | loss 5.945616 | train_time:706.10s | step_avg:5043.59ms
step:140/4768 | loss 5.854316 | train_time:710.81s | step_avg:5041.18ms
step:141/4768 | loss 5.945560 | train_time:715.50s | step_avg:5038.75ms
step:142/4768 | loss 5.896848 | train_time:720.20s | step_avg:5036.40ms
step:143/4768 | loss 5.902348 | train_time:724.90s | step_avg:5034.05ms
step:144/4768 | loss 5.876594 | train_time:729.70s | step_avg:5032.39ms
step:145/4768 | loss 5.800372 | train_time:734.51s | step_avg:5030.87ms
step:146/4768 | loss 5.809080 | train_time:739.21s | step_avg:5028.62ms
step:147/4768 | loss 5.859887 | train_time:744.00s | step_avg:5027.00ms
step:148/4768 | loss 5.868219 | train_time:748.60s | step_avg:5024.18ms
step:149/4768 | loss 5.817565 | train_time:753.59s | step_avg:5023.94ms
step:150/4768 | loss 5.797104 | train_time:758.21s | step_avg:5021.24ms
step:151/4768 | loss 5.717332 | train_time:763.09s | step_avg:5020.33ms
step:152/4768 | loss 5.750666 | train_time:767.91s | step_avg:5019.00ms
step:153/4768 | loss 5.741063 | train_time:772.80s | step_avg:5018.17ms
step:154/4768 | loss 5.849316 | train_time:777.50s | step_avg:5016.15ms
step:155/4768 | loss 5.850518 | train_time:782.40s | step_avg:5015.37ms
step:156/4768 | loss 5.848580 | train_time:787.00s | step_avg:5012.75ms
step:157/4768 | loss 5.778475 | train_time:792.00s | step_avg:5012.64ms
step:158/4768 | loss 5.776526 | train_time:796.61s | step_avg:5010.10ms
step:159/4768 | loss 5.792824 | train_time:801.30s | step_avg:5008.12ms
step:160/4768 | loss 5.794289 | train_time:805.90s | step_avg:5005.56ms
step:161/4768 | loss 5.797678 | train_time:810.51s | step_avg:5003.13ms
step:162/4768 | loss 5.730612 | train_time:815.20s | step_avg:5001.22ms
step:163/4768 | loss 5.758006 | train_time:819.80s | step_avg:4998.80ms
step:164/4768 | loss 5.717603 | train_time:824.59s | step_avg:4997.53ms
step:165/4768 | loss 5.763221 | train_time:829.30s | step_avg:4995.78ms
step:166/4768 | loss 5.725162 | train_time:834.82s | step_avg:4998.92ms
step:167/4768 | loss 5.720282 | train_time:839.59s | step_avg:4997.56ms
step:168/4768 | loss 5.669913 | train_time:844.19s | step_avg:4995.21ms
step:169/4768 | loss 5.625203 | train_time:848.79s | step_avg:4992.90ms
step:170/4768 | loss 5.590536 | train_time:853.40s | step_avg:4990.64ms
step:171/4768 | loss 5.711483 | train_time:857.99s | step_avg:4988.33ms
step:172/4768 | loss 5.611737 | train_time:862.60s | step_avg:4986.15ms
step:173/4768 | loss 5.685964 | train_time:867.30s | step_avg:4984.49ms
step:174/4768 | loss 5.670233 | train_time:872.21s | step_avg:4984.04ms
step:175/4768 | loss 5.622824 | train_time:877.20s | step_avg:4984.11ms
