Running pytorch 2.10.0+cu130
using device: cuda:0
tokens per iteration: 524,288
DataLoader: total number of tokens: 5,000,000,000 across 50 files
DataLoader: total number of tokens: 100,000,000 across 1 files
compiling the model...
step:81/4768 | loss 6.522570 | train_time:379.86s | step_avg:4632.38ms
step:82/4768 | loss 6.449379 | train_time:384.03s | step_avg:4626.92ms
step:83/4768 | loss 6.424688 | train_time:388.22s | step_avg:4621.64ms
step:84/4768 | loss 6.381304 | train_time:392.41s | step_avg:4616.54ms
step:85/4768 | loss 6.362286 | train_time:396.59s | step_avg:4611.49ms
step:86/4768 | loss 6.350471 | train_time:400.78s | step_avg:4606.62ms
step:87/4768 | loss 6.334357 | train_time:404.96s | step_avg:4601.84ms
step:88/4768 | loss 6.334474 | train_time:409.15s | step_avg:4597.25ms
step:89/4768 | loss 6.297840 | train_time:413.37s | step_avg:4593.00ms
step:90/4768 | loss 6.331575 | train_time:417.56s | step_avg:4588.59ms
step:91/4768 | loss 6.347284 | train_time:421.75s | step_avg:4584.26ms
step:92/4768 | loss 6.468025 | train_time:425.94s | step_avg:4579.97ms
step:93/4768 | loss 6.394294 | train_time:430.12s | step_avg:4575.77ms
step:94/4768 | loss 6.327880 | train_time:434.31s | step_avg:4571.65ms
step:95/4768 | loss 6.267443 | train_time:438.49s | step_avg:4567.64ms
step:96/4768 | loss 6.386080 | train_time:442.68s | step_avg:4563.67ms
step:97/4768 | loss 6.346218 | train_time:446.88s | step_avg:4559.96ms
step:98/4768 | loss 6.334387 | train_time:451.06s | step_avg:4556.16ms
step:99/4768 | loss 6.254854 | train_time:455.24s | step_avg:4552.43ms
step:100/4768 | loss 6.296686 | train_time:459.43s | step_avg:4548.79ms
step:101/4768 | loss 6.220253 | train_time:463.61s | step_avg:4545.18ms
step:102/4768 | loss 6.218591 | train_time:467.80s | step_avg:4541.70ms
step:103/4768 | loss 6.220128 | train_time:471.98s | step_avg:4538.27ms
step:104/4768 | loss 6.225720 | train_time:476.16s | step_avg:4534.88ms
step:105/4768 | loss 6.270019 | train_time:480.37s | step_avg:4531.75ms
step:106/4768 | loss 6.224248 | train_time:484.55s | step_avg:4528.51ms
step:107/4768 | loss 6.155255 | train_time:488.74s | step_avg:4525.34ms
step:108/4768 | loss 6.195381 | train_time:492.92s | step_avg:4522.17ms
