Running pytorch 2.10.0+cu130
using device: cuda:0
tokens per iteration: 524,288
DataLoader: total number of tokens: 5,000,000,000 across 50 files
DataLoader: total number of tokens: 100,000,000 across 1 files
compiling the model...
step:81/4768 | loss 6.514862 | train_time:379.92s | step_avg:4633.15ms
step:82/4768 | loss 6.453632 | train_time:384.10s | step_avg:4627.71ms
step:83/4768 | loss 6.414679 | train_time:388.29s | step_avg:4622.45ms
step:84/4768 | loss 6.383859 | train_time:392.47s | step_avg:4617.35ms
step:85/4768 | loss 6.409080 | train_time:396.66s | step_avg:4612.28ms
step:86/4768 | loss 6.421902 | train_time:400.83s | step_avg:4607.28ms
step:87/4768 | loss 6.391549 | train_time:405.02s | step_avg:4602.48ms
step:88/4768 | loss 6.373817 | train_time:409.21s | step_avg:4597.83ms
step:89/4768 | loss 6.331214 | train_time:413.40s | step_avg:4593.29ms
step:90/4768 | loss 6.369983 | train_time:417.59s | step_avg:4588.88ms
step:91/4768 | loss 6.364806 | train_time:421.77s | step_avg:4584.47ms
step:92/4768 | loss 6.365437 | train_time:425.94s | step_avg:4580.05ms
step:93/4768 | loss 6.317435 | train_time:430.12s | step_avg:4575.75ms
step:94/4768 | loss 6.273111 | train_time:434.29s | step_avg:4571.48ms
step:95/4768 | loss 6.213175 | train_time:438.47s | step_avg:4567.42ms
step:96/4768 | loss 6.309892 | train_time:442.66s | step_avg:4563.52ms
step:97/4768 | loss 6.257416 | train_time:446.84s | step_avg:4559.62ms
step:98/4768 | loss 6.232145 | train_time:451.02s | step_avg:4555.80ms
step:99/4768 | loss 6.194802 | train_time:455.21s | step_avg:4552.08ms
step:100/4768 | loss 6.216830 | train_time:459.40s | step_avg:4548.54ms
step:101/4768 | loss 6.161356 | train_time:463.59s | step_avg:4544.97ms
step:102/4768 | loss 6.195149 | train_time:467.77s | step_avg:4541.45ms
step:103/4768 | loss 6.206752 | train_time:471.95s | step_avg:4537.98ms
step:104/4768 | loss 6.277685 | train_time:476.13s | step_avg:4534.60ms
step:105/4768 | loss 6.272964 | train_time:480.32s | step_avg:4531.28ms
step:106/4768 | loss 6.258822 | train_time:484.50s | step_avg:4528.01ms
step:107/4768 | loss 6.189571 | train_time:488.68s | step_avg:4524.83ms
