Running pytorch 2.10.0+cu130
using device: cuda:0
tokens per iteration: 524,288
DataLoader: total number of tokens: 5,000,000,000 across 50 files
DataLoader: total number of tokens: 100,000,000 across 1 files
compiling the model...
step:81/4768 | loss 6.511166 | train_time:381.07s | step_avg:4647.17ms
step:82/4768 | loss 6.448490 | train_time:385.26s | step_avg:4641.71ms
step:83/4768 | loss 6.413839 | train_time:389.46s | step_avg:4636.40ms
step:84/4768 | loss 6.384502 | train_time:393.65s | step_avg:4631.22ms
step:85/4768 | loss 6.363436 | train_time:397.84s | step_avg:4626.09ms
step:86/4768 | loss 6.348757 | train_time:402.03s | step_avg:4621.06ms
step:87/4768 | loss 6.322424 | train_time:406.22s | step_avg:4616.18ms
step:88/4768 | loss 6.329746 | train_time:410.41s | step_avg:4611.30ms
step:89/4768 | loss 6.295527 | train_time:414.58s | step_avg:4606.50ms
step:90/4768 | loss 6.331302 | train_time:418.77s | step_avg:4601.86ms
step:91/4768 | loss 6.326451 | train_time:422.96s | step_avg:4597.35ms
step:92/4768 | loss 6.331802 | train_time:427.14s | step_avg:4592.94ms
step:93/4768 | loss 6.291937 | train_time:431.34s | step_avg:4588.69ms
step:94/4768 | loss 6.260735 | train_time:435.54s | step_avg:4584.59ms
step:95/4768 | loss 6.192882 | train_time:439.75s | step_avg:4580.70ms
step:96/4768 | loss 6.310542 | train_time:443.94s | step_avg:4576.73ms
step:97/4768 | loss 6.240007 | train_time:448.13s | step_avg:4572.76ms
step:98/4768 | loss 6.212455 | train_time:452.32s | step_avg:4568.90ms
step:99/4768 | loss 6.173358 | train_time:456.51s | step_avg:4565.08ms
step:100/4768 | loss 6.194170 | train_time:460.70s | step_avg:4561.35ms
step:101/4768 | loss 6.144115 | train_time:464.88s | step_avg:4557.66ms
step:102/4768 | loss 6.169063 | train_time:469.07s | step_avg:4554.04ms
step:103/4768 | loss 6.190670 | train_time:473.25s | step_avg:4550.51ms
step:104/4768 | loss 6.178545 | train_time:477.45s | step_avg:4547.11ms
step:105/4768 | loss 6.234803 | train_time:481.63s | step_avg:4543.70ms
step:106/4768 | loss 6.230582 | train_time:485.82s | step_avg:4540.36ms
step:107/4768 | loss 6.179430 | train_time:490.01s | step_avg:4537.10ms
step:108/4768 | loss 6.191892 | train_time:494.19s | step_avg:4533.87ms
step:109/4768 | loss 6.205790 | train_time:498.38s | step_avg:4530.76ms
step:110/4768 | loss 6.122148 | train_time:502.57s | step_avg:4527.69ms
step:111/4768 | loss 6.143523 | train_time:506.76s | step_avg:4524.65ms
step:112/4768 | loss 6.145041 | train_time:510.97s | step_avg:4521.89ms
step:113/4768 | loss 6.080165 | train_time:515.18s | step_avg:4519.11ms
step:114/4768 | loss 6.143500 | train_time:519.37s | step_avg:4516.22ms
step:115/4768 | loss 6.085920 | train_time:523.55s | step_avg:4513.36ms
step:116/4768 | loss 6.063462 | train_time:527.74s | step_avg:4510.59ms
step:117/4768 | loss 6.011709 | train_time:531.93s | step_avg:4507.87ms
step:118/4768 | loss 6.057065 | train_time:536.12s | step_avg:4505.23ms
step:119/4768 | loss 6.008147 | train_time:540.32s | step_avg:4502.67ms
step:120/4768 | loss 6.023148 | train_time:544.51s | step_avg:4500.06ms
step:121/4768 | loss 5.954238 | train_time:548.70s | step_avg:4497.53ms
step:122/4768 | loss 6.030063 | train_time:552.89s | step_avg:4495.07ms
step:123/4768 | loss 5.971208 | train_time:557.09s | step_avg:4492.66ms
step:124/4768 | loss 5.951913 | train_time:561.29s | step_avg:4490.28ms
step:125/4768 | loss 5.939316 | train_time:565.47s | step_avg:4487.89ms
step:126/4768 | loss 6.028881 | train_time:569.66s | step_avg:4485.52ms
step:127/4768 | loss 5.952186 | train_time:573.85s | step_avg:4483.22ms
step:128/4768 | val loss 5.989477
step:128/4768 | loss 5.995138 | train_time:578.05s | step_avg:4481.01ms
step:129/4768 | loss 5.956491 | train_time:582.24s | step_avg:4478.77ms
step:130/4768 | loss 5.970119 | train_time:586.43s | step_avg:4476.58ms
step:131/4768 | loss 5.914850 | train_time:590.62s | step_avg:4474.42ms
step:132/4768 | loss 5.867055 | train_time:594.81s | step_avg:4472.29ms
step:133/4768 | loss 5.908909 | train_time:599.01s | step_avg:4470.21ms
step:134/4768 | loss 5.917859 | train_time:603.22s | step_avg:4468.26ms
step:135/4768 | loss 5.810201 | train_time:607.40s | step_avg:4466.20ms
step:136/4768 | loss 5.869097 | train_time:611.59s | step_avg:4464.15ms
step:137/4768 | loss 5.887725 | train_time:615.78s | step_avg:4462.15ms
step:138/4768 | loss 5.853502 | train_time:619.97s | step_avg:4460.19ms
step:139/4768 | loss 5.924508 | train_time:624.16s | step_avg:4458.27ms
step:140/4768 | loss 5.823667 | train_time:628.35s | step_avg:4456.39ms
step:141/4768 | loss 5.921283 | train_time:632.55s | step_avg:4454.55ms
step:142/4768 | loss 5.870621 | train_time:636.76s | step_avg:4452.86ms
step:143/4768 | loss 5.866311 | train_time:640.94s | step_avg:4450.98ms
step:144/4768 | loss 5.830780 | train_time:645.12s | step_avg:4449.09ms
step:145/4768 | loss 5.753445 | train_time:649.29s | step_avg:4447.21ms
step:146/4768 | loss 5.761621 | train_time:653.47s | step_avg:4445.40ms
step:147/4768 | loss 5.811143 | train_time:657.66s | step_avg:4443.68ms
step:148/4768 | loss 5.827206 | train_time:661.85s | step_avg:4441.97ms
step:149/4768 | loss 5.789949 | train_time:666.05s | step_avg:4440.32ms
step:150/4768 | loss 5.789931 | train_time:670.25s | step_avg:4438.75ms
step:151/4768 | loss 5.706535 | train_time:674.45s | step_avg:4437.15ms
step:152/4768 | loss 5.745707 | train_time:678.63s | step_avg:4435.49ms
step:153/4768 | loss 5.720436 | train_time:682.82s | step_avg:4433.88ms
step:154/4768 | loss 5.790447 | train_time:687.00s | step_avg:4432.27ms
step:155/4768 | loss 5.773973 | train_time:691.19s | step_avg:4430.73ms
step:156/4768 | loss 5.792341 | train_time:695.38s | step_avg:4429.20ms
step:157/4768 | loss 5.696016 | train_time:699.58s | step_avg:4427.70ms
step:158/4768 | loss 5.676017 | train_time:703.77s | step_avg:4426.21ms
step:159/4768 | loss 5.698370 | train_time:707.98s | step_avg:4424.85ms
step:160/4768 | loss 5.678884 | train_time:712.16s | step_avg:4423.37ms
step:161/4768 | loss 5.683958 | train_time:716.35s | step_avg:4421.92ms
step:162/4768 | loss 5.643273 | train_time:720.54s | step_avg:4420.51ms
step:163/4768 | loss 5.662567 | train_time:724.73s | step_avg:4419.09ms
step:164/4768 | loss 5.639497 | train_time:728.92s | step_avg:4417.73ms
step:165/4768 | loss 5.682520 | train_time:733.12s | step_avg:4416.36ms
step:166/4768 | loss 5.622601 | train_time:737.30s | step_avg:4414.99ms
step:167/4768 | loss 5.619721 | train_time:741.51s | step_avg:4413.78ms
step:168/4768 | loss 5.593355 | train_time:745.71s | step_avg:4412.46ms
step:169/4768 | loss 5.536748 | train_time:749.89s | step_avg:4411.12ms
step:170/4768 | loss 5.521060 | train_time:754.07s | step_avg:4409.79ms
step:171/4768 | loss 5.638546 | train_time:758.26s | step_avg:4408.47ms
step:172/4768 | loss 5.548956 | train_time:762.44s | step_avg:4407.15ms
step:173/4768 | loss 5.608539 | train_time:766.62s | step_avg:4405.87ms
step:174/4768 | loss 5.602086 | train_time:770.81s | step_avg:4404.60ms
step:175/4768 | loss 5.587772 | train_time:775.00s | step_avg:4403.42ms
step:176/4768 | loss 5.556542 | train_time:779.18s | step_avg:4402.17ms
step:177/4768 | loss 5.571069 | train_time:783.37s | step_avg:4400.95ms
step:178/4768 | loss 5.603671 | train_time:787.56s | step_avg:4399.78ms
step:179/4768 | loss 5.563202 | train_time:791.75s | step_avg:4398.63ms
step:180/4768 | loss 5.523992 | train_time:795.94s | step_avg:4397.44ms
step:181/4768 | loss 5.573137 | train_time:800.13s | step_avg:4396.32ms
step:182/4768 | loss 5.489001 | train_time:804.32s | step_avg:4395.21ms
step:183/4768 | loss 5.579749 | train_time:808.53s | step_avg:4394.18ms
step:184/4768 | loss 5.528440 | train_time:812.72s | step_avg:4393.10ms
step:185/4768 | loss 5.468041 | train_time:816.91s | step_avg:4391.99ms
step:186/4768 | loss 5.589154 | train_time:821.10s | step_avg:4390.91ms
step:187/4768 | loss 5.531954 | train_time:825.29s | step_avg:4389.84ms
step:188/4768 | loss 5.367586 | train_time:829.48s | step_avg:4388.79ms
step:189/4768 | loss 5.504575 | train_time:833.67s | step_avg:4387.75ms
step:190/4768 | loss 5.517660 | train_time:838.08s | step_avg:4387.87ms
step:191/4768 | loss 5.403662 | train_time:842.28s | step_avg:4386.85ms
step:192/4768 | loss 5.386821 | train_time:846.46s | step_avg:4385.80ms
step:193/4768 | loss 5.481846 | train_time:850.64s | step_avg:4384.73ms
step:194/4768 | loss 5.523268 | train_time:854.83s | step_avg:4383.74ms
step:195/4768 | loss 5.512780 | train_time:859.02s | step_avg:4382.78ms
step:196/4768 | loss 5.481377 | train_time:863.22s | step_avg:4381.82ms
step:197/4768 | loss 5.443554 | train_time:867.41s | step_avg:4380.85ms
step:198/4768 | loss 5.404484 | train_time:871.60s | step_avg:4379.88ms
step:199/4768 | loss 5.461336 | train_time:875.79s | step_avg:4378.94ms
step:200/4768 | loss 5.533707 | train_time:880.00s | step_avg:4378.09ms
step:201/4768 | loss 5.432694 | train_time:884.19s | step_avg:4377.16ms
step:202/4768 | loss 5.415121 | train_time:888.38s | step_avg:4376.24ms
step:203/4768 | loss 5.417466 | train_time:892.57s | step_avg:4375.32ms
step:204/4768 | loss 5.421994 | train_time:896.76s | step_avg:4374.42ms
step:205/4768 | loss 5.290726 | train_time:900.94s | step_avg:4373.51ms
step:206/4768 | loss 5.392971 | train_time:905.14s | step_avg:4372.64ms
step:207/4768 | loss 5.401086 | train_time:909.32s | step_avg:4371.75ms
step:208/4768 | loss 5.320227 | train_time:913.53s | step_avg:4370.96ms
step:209/4768 | loss 5.284557 | train_time:917.72s | step_avg:4370.09ms
